program,year,gender,primary_location,library_usage,daily_study_hours,study_routine,productivity_home,productivity_library,productivity_class,productivity_boosters,easily_distracted,main_distractions,library_visit_reasons,avoid_library_reasons,exam_study_intensity,exam_location_change
B.Tech,Year 2,Male,Hostel,Never,<2 hrs,No,3,0,2,"No distractions, Studying with others, Fixed routine",Yes,"Mobile phone, Social media, Lack of motivation",I don't go,"Prefer studying at home/hostel, Not useful for me",Slightly more,No change
B.Tech,Year 2,Male,Hostel,Rarely,<2 hrs,No,3,2,5,"Quiet environment, Comfortable seating",Yes,"Mobile phone, Noise, Friends / Social interaction, Social media, Uncomfortable environment","Better focus, Quiet environment",Time constraints,Significantly more,Yes - Hostel
B.Tech,Year 2,Male,Hostel,Never,<2 hrs,No,2,0,1,"Quiet environment, No distractions, Listening to Music",Yes,"Mobile phone, Noise, Lack of motivation",I don't go,"Prefer studying at home/hostel, Library is crowded",Significantly more,No change
B.Tech,Year 2,Male,Hostel,Rarely,<2 hrs,No,5,1,4,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Studying with others, Listening to Music",Yes,"Mobile phone, Noise, Friends / Social interaction, Social media, Uncomfortable environment",I don't go,"Prefer studying at home/hostel, Not comfortable, Not useful for me, Too far",Significantly more,Yes - Hostel
B.Tech,Year 2,Male,Library,Sometimes,<2 hrs,During Exams,3,4,2,"Quiet environment, Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music",Yes,"Mobile phone, Friends / Social interaction, Social media","Better focus, Quiet environment, Resources available",Library is crowded,Significantly more,Yes - Library
B.Tech,Year 2,Male,Hostel,Never,>4 hrs,Yes,5,0,2,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Studying with others, Listening to Music, Fixed routine",Sometimes,"Mobile phone, Noise, Uncomfortable environment",I don't go,"Prefer studying at home/hostel, Not comfortable, Not useful for me, Time constraints, Too far",Significantly more,Yes - Hostel
B.Tech,Year 1,Male,Hostel,Rarely,<2 hrs,No,2,2,2,"Quiet environment, Comfortable seating, Access to resources (books/Wi-Fi)",Yes,"Mobile phone, Friends / Social interaction, Social media, Lack of motivation",I don't go,"Prefer studying at home/hostel, Not comfortable",Slightly more,No change
B.Tech,Year 2,Male,Hostel,Rarely,<2 hrs,During Exams,5,0,3,"Comfortable seating, Access to resources (books/Wi-Fi)",No,Uncomfortable environment,I don't go,Too far,Significantly more,No change
B.Tech,Year 3,Male,Hostel,Never,<2 hrs,During Exams,4,5,0,Studying with others,Sometimes,Lack of motivation,Peer motivation,"Prefer studying at home/hostel, Library is crowded",Significantly more,No change
B.Tech,Year 1,Male,Hostel,Rarely,2-4 hrs,No,5,3,5,"Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music",Sometimes,Uncomfortable environment,"Resources available, I don't go","Time constraints, Too far",Significantly more,No change
